price_eur;boat_type;year_built;condition;length_m;displacement_kg;certified_number_of_people;number_of_cabins;number_of_beds;fuel_capacity_l;engine_hours_h;number_of_views_last_7_days
61500;Sport Boat;2005;well-groomed;10,69;5800;10;2;4;800;550;329
62800;Sport Boat;2010;very good;7,5;2800;7;1;1;240;148;652
629000;Flybridge;2004;very good;22,85;50000;12;4;8;5300;1300;310
63999;Motor Yacht;2002;well-groomed;10,6;7200;10;2;4;800;958;299
64800;Motor Yacht;1984;good;12,25;12000;8;2;8;750;1764;164
64900;Motor Yacht;2007;good;9,6;4800;8;2;4;520;400;137
65000;Classic;1991;well-groomed;10,8;6000;8;1;4;400;1300;331
65000;Motor Yacht;1993;very good;12,8;10800;14;3;6;1000;1100;685
65000;Motor Yacht;2015;very good;9,31;4700;8;2;4;520;500;744
65000;Trawler;1986;very good;8,5;3200;6;2;5;220;300;222
66800;Flybridge;2015;very good;8,4;2700;8;2;1;300;60;120
67900;Motor Yacht;2008;very good;8,13;3300;9;1;4;322;365;222
68500;Motor Yacht;2010;as new;7,7;2600;12;1;5;100;459;106
68600;Flybridge;1999;very good;8,86;4500;6;2;6;350;1290;190
689000;Flybridge;2020;as new;13,9;13052;12;3;6;1100;35;161
69000;Cabin Boat;2012;very good;9,13;3200;8;2;4;500;315;88
69000;Motor Yacht;2007;very good;9,01;3000;10;1;4;600;415;186
69500;Runabout;2001;very good;9,2;5000;8;1;2;450;800;69
69900;Motor Yacht;1997;very good;10,1;7500;6;2;6;480;5200;174
690000;Flybridge;2007;as new;23,95;52000;14;6;12;7000;900;54
698000;Flybridge;2016;very good;15,88;24850;10;3;6;2200;570;175
70000;Cabin Boat;2009;very good;9,6;5000;10;1;4;500;600;147
72000;Flybridge;1994;well-groomed;11;9500;6;2;4;850;880;199
72000;Classic;1973;well-groomed;10,3;7000;10;2;6;500;700;143
729000;Mega Yacht;2018;very good;16,2;22750;12;3;6;1800;120;276
73000;Sport Boat;2007;very good;9,86;5400;8;1;2;1140;220;49
730000;Flybridge;2017;very good;16,2;22750;12;3;6;1800;470;107
74000;Motor Yacht;2011;very good;8,95;4000;6;2;1;520;180;120
74900;Fishing Boat;2015;very good;8,91;3440;10;1;2;400;813;163
74990;Pilothouse;2020;new;7,99;2200;7;1;3;230;15;169
745000;Flybridge;2016;very good;17,92;24100;12;4;8;2200;75;123
749000;Hardtop;2010;very good;19,92;31900;12;3;6;3000;540;135
75000;Classic;2002;as new;8,75;2700;10;1;2;100;460;183
75000;Motor Yacht;2004;very good;9,6;7300;8;1;2;700;600;434
75000;Cabin Boat;2002;very good;8,17;2570;6;1;1;230;1200;186
75000;Motor Yacht;1991;used;12,15;12000;10;2;4;900;800;124
75000;Cabin Boat;1989;good;11,4;11000;7;2;2;850;1400;277
